Row-names,Symbol,logFC,adj-P-Val,data
5S_RRNA_4,NA,0.117252879,0.985047575, 
7SK_1,NA,-0.255178249,0.748895651, 
AAED1,NA,0.004364549,1, 
AARS,NA,-1.254186154,0.241737591, 
AATK-AS1,NA,-2.404474662,0.187359835, 
ABC7-42389800N19.1,NA,-0.504161249,0.877739959, 
ABCB11,NA,-0.138345833,0.856125253, 
ABHD12B,NA,0.034375881,1, 
AC000032.2,NA,0.337624312,0.781128301, 
AC000036.4,NA,-1.081798082,0.733327516, 
AC000041.8,NA,0.209765945,0.774143129, 
AC000067.1,NA,-0.16863031,0.818945273, 
AC000068.5,NA,-1.959429795,0.242849522, 
AC000077.2,NA,0,1, 
AC002115.5,NA,-0.074130807,0.957099368, 
AC002116.7,NA,-0.158103425,1, 
AC002116.8,NA,0.211999227,0.823392183, 
AC002127.4,NA,-0.356796443,0.693424354, 
AC002306.1,NA,0,1, 
AC002310.12,NA,0.039799649,1, 
AC002310.7,NA,0.045143061,1, 
AC002368.4,NA,-0.119965315,1, 
AC002398.11,NA,0,1, 
AC002398.12,NA,-0.1949875,0.788504015, 
AC002398.5,NA,-1.833489038,0.636368496, 
AC002398.9,NA,-1.794214,0.449177699, 
AC002429.5,NA,-0.161808942,0.880075147, 
AC002451.1,NA,-0.798254214,0.77607548, 
AC002451.3,NA,-0.191465449,1, 
AC002454.1,NA,0.384013225,0.775149763, 
AC002456.2,NA,-0.391477242,0.988616144, 
AC002463.3,NA,0.117037209,1, 
AC002467.7,NA,0.325565365,0.920091754, 
AC002472.13,NA,-1.554860867,0.549539692, 
AC002480.2,NA,-0.379167841,0.775319922, 
AC002480.3,NA,0.069747446,1, 
AC002480.5,NA,0,1, 
AC002511.1,NA,-1.110464903,0.775567127, 
AC002511.3,NA,0.245985779,0.985688603, 
AC002519.6,NA,0,1, 
AC002523.1,NA,-0.220988337,0.768185457, 
AC002543.2,NA,-0.045834508,1, 
AC002551.1,NA,0,1, 
AC003002.4,NA,0.655732588,0.665684127, 
AC003002.6,NA,-0.025023412,1, 
AC003005.2,NA,0,1, 
AC003005.4,NA,0,1, 
AC003006.7,NA,0.070733491,0.968270412, 
AC003051.1,NA,0.741638379,0.849655934, 
AC003075.4,NA,0.405233626,0.989463269, 
AC003090.1,NA,0.054457041,1, 
AC003092.1,NA,0.142210709,0.878104496, 
AC003101.1,NA,0,1, 
AC003102.1,NA,-0.404362671,0.675936041, 
AC003102.3,NA,-0.90457201,0.577530878, 
AC003104.1,NA,0.078875457,0.948499874, 
AC003665.1,NA,-0.080952174,0.953850059, 
AC003956.1,NA,0,1, 
AC003958.2,NA,-0.1949875,1, 
AC003958.6,NA,0,1, 
AC003973.4,NA,0,1, 
AC003986.5,NA,-0.237898605,1, 
AC003986.7,NA,-0.282665636,0.730831541, 
AC003991.3,NA,0.305598105,0.788554441, 
AC004009.3,NA,0,1, 
AC004012.1,NA,0,1, 
AC004051.2,NA,-1.437291477,0.516514998, 
AC004057.1,NA,0.034375881,1, 
AC004063.1,NA,0.050408465,0.998307453, 
AC004069.2,NA,0.537161174,0.925593889, 
AC004076.9,NA,0.286200912,1, 
AC004112.4,NA,-0.474675427,0.719990374, 
AC004156.3,NA,-3.242709271,0.251167495, 
AC004158.2,NA,1.350094702,0.700108415, 
AC004166.6,NA,0,1, 
AC004221.2,NA,-0.228529378,1, 
AC004381.6,NA,1.483970287,0.499159979, 
AC004381.7,NA,0.070733491,0.968270412, 
AC004447.2,NA,0,1, 
AC004448.5,NA,-1.530298242,0.510505937, 
AC004461.4,NA,0,1, 
AC004471.10,NA,-1.078405487,0.724705686, 
AC004471.9,NA,0,1, 
AC004528.4,NA,0,1, 
AC004535.2,NA,-0.1949875,1, 
AC004538.3,NA,0.338558859,0.82032124, 
AC004540.4,NA,-1.516807329,0.257150773, 
AC004540.5,NA,-1.530263455,0.656164368, 
AC004549.6,NA,-0.517035967,0.762926109, 
AC004562.1,NA,-0.095627049,0.917411976, 
AC004603.4,NA,0,1, 
AC004637.1,NA,-0.417660247,0.674790127, 
AC004791.2,NA,0,1, 
AC004840.8,NA,-0.919755481,0.495383405, 
AC004840.9,NA,-0.355684774,0.927483016, 
AC004854.4,NA,0.25299316,0.804712283, 
AC004866.3,NA,-0.337324214,0.919755476, 
AC004869.2,NA,-0.361228717,0.617199244, 
AC004870.4,NA,0.080482024,0.953850059, 
AC004878.2,NA,-0.379167841,0.913327591, 
AC004878.3,NA,0.243588575,0.898144256, 
AC004893.11,NA,-2.182937168,0.380691376, 
AC004906.3,NA,-0.060190748,1, 
AC004920.3,NA,-1.465389034,0.317690045, 
AC004941.3,NA,-0.771954679,0.626959021, 
AC004947.2,NA,-0.508132937,0.827284442, 
AC004951.5,NA,0.448650447,0.84985832, 
AC004951.6,NA,0.133152023,0.924087644, 
AC004967.7,NA,-0.021424952,1, 
AC004980.11,NA,-0.161808942,0.970363116, 
AC004980.7,NA,-0.643003801,0.810460306, 
AC004980.9,NA,-0.054499577,0.989236758, 
AC004985.12,NA,0.12984354,0.887096924, 
AC005000.1,NA,-0.229421285,0.811569051, 
AC005003.1,NA,0.111656867,1, 
AC005008.2,NA,-1.142088252,0.632897286, 
AC005013.1,NA,-0.477653136,0.917411976, 
AC005013.5,NA,0,1, 
AC005019.2,NA,0.181340006,0.949492965, 
AC005022.1,NA,0,1, 
AC005037.3,NA,0.63503258,0.878104496, 
AC005042.4,NA,-0.072349698,0.966948365, 
AC005042.5,NA,-0.133512643,0.863341744, 
AC005062.2,NA,-0.684047731,0.553299471, 
AC005076.5,NA,1.595394511,0.517929379, 
AC005077.12,NA,0.295174902,0.968954043, 
AC005077.7,NA,0,1, 
AC005083.1,NA,-0.338761913,0.947838622, 
AC005086.1,NA,-0.262280242,0.734388689, 
AC005150.1,NA,0.403562943,0.837001751, 
AC005154.6,NA,0.446739177,0.684969683, 
AC005176.2,NA,0,1, 
AC005197.2,NA,0,1, 
AC005224.2,NA,-0.45003382,0.774143129, 
AC005235.1,NA,-0.107309365,0.917411976, 
AC005253.4,NA,0,1, 
AC005256.1,NA,-0.591175846,0.775149763, 
AC005264.2,NA,0.055598105,1, 
AC005280.1,NA,-0.047878486,1, 
AC005281.2,NA,-0.606225314,0.801645048, 
AC005301.8,NA,0,1, 
AC005306.3,NA,0,1, 
AC005307.1,NA,-0.067211287,0.98060542, 
AC005307.3,NA,-0.286335601,0.992495345, 
AC005324.6,NA,0,1, 
AC005324.7,NA,0,1, 
AC005329.7,NA,-0.989007857,0.805247766, 
AC005330.2,NA,0,1, 
AC005355.2,NA,0.127990706,0.971513959, 
AC005392.13,NA,0.187830222,0.974519521, 
AC005394.1,NA,0,1, 
AC005399.1,NA,-0.095627049,0.917411976, 
AC005477.1,NA,0.034375881,1, 
AC005481.5,NA,0,1, 
AC005484.5,NA,0.255500526,0.957099368, 
AC005487.2,NA,0.078536871,1, 
AC005498.3,NA,0,1, 
AC005518.2,NA,0,1, 
AC005523.3,NA,-0.549593704,0.889900476, 
AC005532.5,NA,-0.137774943,0.917621366, 
AC005537.2,NA,0,1, 
AC005540.3,NA,0.371616983,0.98013799, 
AC005546.2,NA,-0.060190748,0.981468455, 
AC005550.4,NA,0.512552861,0.683784832, 
AC005562.1,NA,-1.059797315,0.669318308, 
AC005592.1,NA,0,1, 
AC005592.2,NA,0,1, 
AC005609.1,NA,-0.161808942,0.823392183, 
AC005614.5,NA,0.303795589,0.98002059, 
AC005618.1,NA,-0.440757986,0.921651121, 
AC005618.6,NA,-0.420284966,0.914684601, 
AC005624.2,NA,0,1, 
AC005682.5,NA,-1.121797958,0.590452771, 
AC005682.6,NA,-0.344289072,1, 
AC005682.8,NA,0.150226011,0.972425675, 
AC005754.7,NA,0.747158549,0.769370197, 
AC005772.2,NA,0.325640693,0.915776518, 
AC005779.2,NA,0.055598105,0.989236758, 
AC005780.1,NA,-0.161808942,0.880075147, 
AC005831.1,NA,0.023277351,1, 
AC005841.1,NA,-0.215592364,0.924087644, 
AC005863.1,NA,0,1, 
AC005932.1,NA,-1.692551774,0.209716617, 
AC005944.2,NA,0,1, 
AC006014.7,NA,0.201205795,1, 
AC006014.8,NA,-0.138370954,0.880075147, 
AC006024.4,NA,-0.114140519,1, 
AC006042.7,NA,0.300408465,0.789485244, 
AC006050.2,NA,-1.125013144,0.565293422, 
AC006111.1,NA,0,1, 
