"signature","wcs","tau"
"Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1",-0.000299952573578611,-100
"Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_4",-0.000214132408745812,-100
"SUM52PE treated with PI3K-mTOR inhibitors GSE123740_3",-0.000246290262416063,-100
"Combined MEKi (GDC-0973) and WNT (G007-LK) treatment in APC and KRAS mutant HCT-15 cell line GSE123807_3",-0.000698689665875606,-100
"RNA-seq of HL-60 cells following treatment with different compounds GSE124422_3",-0.000456887608314159,-100
"Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_3",-0.000356339928855401,-100
"Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) GSE145204_1",-0.00142804122775014,-100
"RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_1",-0.00140571771962787,-100
"RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_2",-0.000619099487267653,-100
"RNA-Seq analysis RPE1 cells following exposure to Nutlin-3 to identify target genes of p53 [tpo12] GSE86104_1",-0.000435433832198169,-100
"Expression levels of genes of NKG2C+ NK cells after in vitro treatment GSE109823_1",-0.000570853708007349,-100
"Identification of Drugs Blocking SARS-CoV-2 Infection using Human Pluripotent Stem Cell-derived Colonic Organoids GSE148696_1",-0.000362372206284811,-100
"RNA sequencing of human fibroblasts after SUPT4H1 siRNA treatment GSE83484_1",-0.000427456546363574,-100
"RNA-seq of human foreskin fibroblast cells lacking RB and/or p130 after doxorubicin treatment GSE128711_3",-0.000336203475970781,-100
"RNA Sequencing Facilitates Quantitative Analysis of Transcriptomes of H1 derived cells with or without SB431542 treatment at Day8 after human early hematopoietic differentiation . GSE134908_1",-0.0004827950294598,-100
"Licochalcone A suppresses the proliferation of sarcoma HT-1080 cells, as a selective R132C mutant IDH1 inhibitor GSE137934_1",-0.00107589744173509,-100
"Genome-wide transcriptome alternation by DNA methylation inhibitor 5'-Aza in primary leiomyoma cells GSE138045_1",-0.00026575109999002,-100
"Caco2 response to methotrexate, lactoferrin, and methotrexate-lactoferrin co-exposure GSE140066_2",-0.000167922598267423,-99.2650115821856
"RNA-sequencing experiment: Treatment of MCF-7 breast cancer cells with the novel small molecule ZNA GSE59251_2",-0.000144466381341958,-84.1858375312788
"Drug-induced mitochondrial oxidative stress is responsible for various effects of the survivin inhibitor Sepantronium Bromide (YM155) in triple negative breast cancer cells GSE139364_1",-0.000131888730900003,-76.1001099491891
"Genes regulated by COUP-TFII inhibitor GSE142475_3",-0.000112913944039207,-63.9018891294378
"Gene expression profiling of drug-tolerant persister BT474 breast cancer cells derived from lapatinib treatment GSE84896_1",-8.77686376931006e-05,-47.7368591008879
"Transcriptome profiling of HepG2 cells upon treatment of the menin-MLL inhibitor MI-503 or DMSO GSE103327_1",-5.07731999321194e-05,-23.9537977973533
"RNA sequencing of HepG2 cells treated with estradiol or estrogen receptor agonist GSE112983_3",-3.41598509516183e-05,-13.2736620516155
"RNA-seq in HT-29 colorectal cancer cells after F. nucleatum treatment GSE90944_1",-7.00786235577312e-06,4.18139317600317
"Transcriptome analysis of Riociguat and Vehicle control treatment in human hematopoietic stem and progenitor cells GSE130126_1",-5.01998691474718e-06,5.45932814147544
"Enhancement of Human B Cell Differentiation and Function in Lymph Nodes by the TLR9 Agonist MGN1703 GSE130307_1",-1.78113056211563e-08,8.67505030515162
"Defining a microRNA-mRNA targetome for calcineurin inhibitor induced nephrotoxicity GSE98670_1",-1.78113056211563e-08,8.67505030515162
"Expression Profiling of U2OS Cell Lines Transfected with MicroRNA-571 Mimic or MicroRNA-571 Inhibitor vs. MicroRNA-Control Transfected U2OS Cell Lines GSE118998_2",-1.78113056211563e-08,8.67505030515162
"Gene expression profile of a FLT3-ITD acute myeloid leukemia cell line treated with FLT3 inhibitors for six and twelve hours GSE121272_1",-1.78113056211563e-08,8.67505030515162
"BI-3406, a potent and selective SOS1::KRAS interaction inhibitor, is effective in KRAS-driven cancers through combined MEK inhibition GSE128385_1",-1.78113056211563e-08,8.67505030515162
"BI-3406, a potent and selective SOS1::KRAS interaction inhibitor, is effective in KRAS-driven cancers through combined MEK inhibition GSE128385_2",-1.78113056211563e-08,8.67505030515162
"Visualization and Sequencing of Accessible Chromatin Reveals Cell Cycle and Post-HDAC inhibitor Treatment Dynamics GSE139253_1",-1.78113056211563e-08,8.67505030515162
"Effect of ER stress on MUC1 kidney disease patient derived cells and and treatment by BRD4780 GSE129942_1",-1.78113056211563e-08,8.67505030515162
"DPN and Tamoxifen treatments of parathyroid adenoma cells GSE37211_1",-1.78113056211563e-08,8.67505030515162
"High Resolution Mapping of RNA Polymerases Identifies Mechanisms of Sensitivity and Resistance to BET Inhibitors in t(8;21) AML GSE83660_1",-1.78113056211563e-08,8.67505030515162
"High Resolution Mapping of RNA Polymerases Identifies Mechanisms of Sensitivity and Resistance to BET Inhibitors in t(8;21) AML GSE83660_2",-1.78113056211563e-08,8.67505030515162
"Transcriptome analysis of dominant-negative Brd4 mutants identifies Brd4-specific target genes of BET inhibitor JQ1 GSE92456_2",-1.78113056211563e-08,8.67505030515162
"Synergistic activity of BET inhibitor BI 894999 with PLK inhibitor volasertib in AML in vitro and in vivo GSE103068_1",-1.78113056211563e-08,8.67505030515162
"A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_1",-1.78113056211563e-08,8.67505030515162
"A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_2",-1.78113056211563e-08,8.67505030515162
"RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_2",-1.78113056211563e-08,8.67505030515162
"RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_3",-1.78113056211563e-08,8.67505030515162
"RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_4",-1.78113056211563e-08,8.67505030515162
"Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_3",-1.78113056211563e-08,8.67505030515162
"RNA-seq of HL-60 cells following treatment with different compounds GSE124422_1",-1.78113056211563e-08,8.67505030515162
"Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_2",-1.78113056211563e-08,8.67505030515162
"Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_5",-1.78113056211563e-08,8.67505030515162
